"Institution","State","Link","Roster","Conference","X"
"Texas Southern University","Texas","https://tsusports.com/index.aspx?path=wvball","https://tsusports.com/roster.aspx?path=wvball","Southwestern Athletic Conference",""
"Alabama State University","Alabama","https://bamastatesports.com/index.aspx?path=wvball","https://bamastatesports.com/roster.aspx?path=wvball","Southwestern Athletic Conference",""
"Southern University and A&M College","Louisiana","https://www.nmnathletics.com/SportSelect.dbml?DB_LANG=C&DB_OEM_ID=28100&SPID=96912&SPSID=641638","https://gojagsports.com/sports/womens-volleyball/roster","Southwestern Athletic Conference",""
"University of Arkansas at Pine Bluff","Arkansas","https://uapblionsroar.com/index.aspx?path=wvball","https://uapblionsroar.com/sports/womens-volleyball/roster","Southwestern Athletic Conference",""
"Grambling State University","Louisiana","https://gsutigers.com/index.aspx?path=wvball","https://gsutigers.com/sports/womens-volleyball/roster","Southwestern Athletic Conference",""
"Alcorn State University","Mississippi","https://alcornsports.com/index.aspx?path=wvball","https://alcornsports.com/sports/womens-volleyball/roster","Southwestern Athletic Conference",""
"Mississippi Valley State University","Mississippi","https://mvsusports.com/index.aspx?path=wvball","https://mvsusports.com/roster.aspx?path=wvball","Southwestern Athletic Conference",""
"Western Kentucky University","Kentucky","https://wkusports.com/index.aspx?path=wvball","https://wkusports.com/sports/womens-volleyball/roster","Conference USA",""
"Rice University","Texas","https://riceowls.com/index.aspx?path=wvball","https://riceowls.com/sports/womens-volleyball/roster","Conference USA",""
"University of North Texas","Texas","https://meangreensports.com/index.aspx?path=wvball","https://meangreensports.com/sports/womens-volleyball/roster/","Conference USA",""
"Marshall University","West Virginia","https://herdzone.com/index.aspx?path=wvball","https://herdzone.com/sports/womens-volleyball/roster/","Conference USA",""
"Florida Atlantic University","Florida","https://fausports.com/index.aspx?path=wvball","https://fausports.com/sports/womens-volleyball/roster","Conference USA",""
"University of Texas at San Antonio","Texas","https://goutsa.com/index.aspx?path=wvball","https://goutsa.com/roster.aspx?path=wvball","Conference USA",""
"University of Texas at El Paso","Texas","https://utepminers.com/index.aspx?path=wvball","https://utepminers.com/sports/womens-volleyball/roster/","Conference USA",""
"Middle Tennessee State University","Tennessee","https://goblueraiders.com/index.aspx?path=wvball","https://goblueraiders.com/sports/womens-volleyball/roster/","Conference USA",""
"University of North Carolina at Charlotte ","North Carolina","https://charlotte49ers.com/index.aspx?path=wvball","https://charlotte49ers.com/sports/womens-volleyball/roster/","Conference USA",""
"University of Alabama at Birmingham","Alabama","https://uabsports.com/sports/womens-volleyball/roster","https://uabsports.com/sports/womens-volleyball/roster","Conference USA",""
"Louisiana Tech University","Louisiana","https://latechsports.com/index.aspx?path=wvball","https://latechsports.com/sports/womens-volleyball/roster","Conference USA",""
"Florida International University","Florida","https://fiusports.com/index.aspx?path=wvball","https://fiusports.com/sports/womens-volleyball/roster","Conference USA",""
"University of Southern Mississippi","Mississippi","https://southernmiss.com/index.aspx","https://southernmiss.com/sports/womens-volleyball/roster/","Conference USA",""
"State University of New York at Albany","New York","https://ualbanysports.com/index.aspx?path=wvball","https://ualbanysports.com/sports/womens-volleyball/roster?path=wvball","America East Conference",""
"University of New Hampshire","New Hampshire","https://unhwildcats.com/index.aspx?path=wvball","https://unhwildcats.com/roster.aspx?path=wvball","America East Conference",""
"University of Hartford","Connecticut","https://www.hartfordhawks.com/index.aspx?path=wvball","https://www.hartfordhawks.com/roster.aspx?path=wvball","America East Conference",""
"State University of New York at Stony Brook","New York","https://stonybrookathletics.com/index.aspx?path=wvball","https://stonybrookathletics.com/sports/womens-volleyball/roster","America East Conference",""
"University of Maryland, Baltimore County","Maryland","https://umbcretrievers.com/sports/wvball/index","https://umbcretrievers.com/sports/wvball/2021-22/roster","America East Conference",""
"State University of New York at Binghamton","New York","https://bubearcats.com/index.aspx?path=wvball","https://bubearcats.com/sports/womens-volleyball/roster","America East Conference",""
"American University","Washington, D.C.","https://aueagles.com/index.aspx?path=wvball","https://aueagles.com/sports/womens-volleyball/roster","Patriot League",""
"Colgate University","New York","https://gocolgateraiders.com/index.aspx?path=vball","https://gocolgateraiders.com/sports/womens-volleyball/roster","Patriot League",""
"United States Military Academy","New York","https://goarmywestpoint.com/index.aspx?path=wvball","https://goarmywestpoint.com/sports/womens-volleyball/roster","Patriot League",""
"United States Naval Academy","Maryland","https://navysports.com/index.aspx?path=wvball","https://navysports.com/sports/womens-volleyball/roster","Patriot League",""
"Lehigh University","Pennsylvania","https://lehighsports.com/index.aspx?path=wvball","https://lehighsports.com/sports/womens-volleyball/roster/","Patriot League",""
"Loyola University Maryland","Maryland","https://loyolagreyhounds.com/index.aspx?path=wvball","https://loyolagreyhounds.com/sports/womens-volleyball/roster","Patriot League",""
"Bucknell University","Pennsylvania","https://bucknellbison.com/index.aspx?path=vb","https://bucknellbison.com/sports/womens-volleyball/roster","Patriot League",""
"College of the Holy Cross","Massachusetts","https://goholycross.com/index.aspx?path=vb","https://goholycross.com/sports/womens-volleyball/roster","Patriot League",""
"Lafayette College","Pennsylvania","https://www.goleopards.com/index.aspx?path=wvball","https://www.goleopards.com/sports/womens-volleyball/roster","Patriot League",""
"Coastal Carolina University","South Carolina","https://goccusports.com/index.aspx?path=wvball","https://goccusports.com/sports/womens-volleyball/roster","Sun Belt Conference",""
"University of South Alabama","Alabama","https://usajaguars.com/index.aspx?path=wvball","https://usajaguars.com/sports/womens-volleyball/roster","Sun Belt Conference",""
"Troy University","Alabama","https://troytrojans.com/index.aspx?path=wvball","https://troytrojans.com/sports/womens-volleyball/roster","Sun Belt Conference",""
"Appalachian State University","North Carolina","https://appstatesports.com/index.aspx?path=wvball","https://appstatesports.com/sports/womens-volleyball/roster","Sun Belt Conference",""
"Georgia State University","Georgia","https://georgiastatesports.com/index.aspx?path=vb","https://georgiastatesports.com/sports/womens-volleyball/roster","Sun Belt Conference",""
"Georgia Southern University","Georgia","https://gseagles.com/index.aspx?path=wvball","https://gseagles.com/sports/womens-volleyball/roster","Sun Belt Conference",""
"Texas State University","Texas","https://txstatebobcats.com/index.aspx?path=wvball","https://txstatebobcats.com/sports/womens-volleyball/roster/2021","Sun Belt Conference",""
"University of Louisiana at Lafayette","Louisiana","https://ragincajuns.com/index.aspx?path=wvball","https://ragincajuns.com/sports/womens-volleyball/roster/2021","Sun Belt Conference",""
"University of Texas at Arlington","Texas","https://utamavs.com/index.aspx?path=wvball","https://utamavs.com/sports/womens-volleyball/roster/2021","Sun Belt Conference",""
"Arkansas State University","Arkansas","https://astateredwolves.com/sports/womens-volleyball","https://astateredwolves.com/sports/womens-volleyball/roster","Sun Belt Conference",""
"University of Arkansas at Little Rock","Arkansas","https://lrtrojans.com/index.aspx?path=wvball","https://lrtrojans.com/sports/womens-volleyball/roster","Sun Belt Conference",""
"University of Louisiana at Monroe","Louisiana","https://ulmwarhawks.com/index.aspx?path=wvball","https://ulmwarhawks.com/sports/womens-volleyball/roster","Sun Belt Conference",""
"Stanford University","California","https://gostanford.com/index.aspx?path=wvball","https://gostanford.com/sports/womens-volleyball/roster/2021","PAC-12 Conference",""
"University of Washington","Washington","https://gohuskies.com/index.aspx?path=wvball","https://gohuskies.com/sports/womens-volleyball/roster","PAC-12 Conference",""
"University of Utah","Utah","https://utahutes.com/index.aspx?path=wvball","https://utahutes.com/sports/womens-volleyball/roster","PAC-12 Conference",""
"University of California - Los Angeles","California","https://uclabruins.com/index.aspx?path=wvball","https://uclabruins.com/sports/womens-volleyball/roster","PAC-12 Conference",""
"Washington State University","Washington","https://wsucougars.com/index.aspx?path=wvball","https://wsucougars.com/sports/womens-volleyball/roster","PAC-12 Conference",""
"University of Southern California","California","https://usctrojans.com/index.aspx?path=wvball","https://usctrojans.com/sports/womens-volleyball/roster/2021","PAC-12 Conference",""
"University of California - Berkeley","California","https://calbears.com/index.aspx?path=wvball","https://calbears.com/sports/womens-volleyball/roster","PAC-12 Conference",""
"Arizona State University","Arizona","https://arizonawildcats.com/index.aspx?path=wvball","https://arizonawildcats.com/sports/womens-volleyball/roster","PAC-12 Conference",""
"University of Oregon","Oregon","https://goducks.com/index.aspx?path=wvball","https://goducks.com/sports/womens-volleyball/roster","PAC-12 Conference",""
"University of Arizona","Arizona","https://arizonawildcats.com/index.aspx?path=wvball","https://arizonawildcats.com/sports/womens-volleyball/roster","PAC-12 Conference",""
"University of Colorado Boulder","Colorado","https://cubuffs.com/index.aspx?path=wvball","https://cubuffs.com/sports/womens-volleyball/roster","PAC-12 Conference",""
"Oregon State University","Oregon","https://osubeavers.com/index.aspx?path=wvball","https://osubeavers.com/sports/womens-volleyball/roster/2021","PAC-12 Conference",""
"Jacksonville State University","Alabama","https://jsugamecocksports.com/index.aspx?path=wvball","https://jsugamecocksports.com/sports/womens-volleyball/roster","Ohio Valley Conference",""
"Southeast Missouri State University","Missouri","https://gosoutheast.com/index.aspx?path=wvball","https://gosoutheast.com/sports/womens-volleyball/roster","Ohio Valley Conference",""
"Murray State University","Kentucky","https://goracers.com/index.aspx?path=wvball","https://goracers.com/sports/womens-volleyball/roster","Ohio Valley Conference",""
"Morehead State University","Kentucky","https://msueagles.com/index.aspx?path=wvball","https://msueagles.com/sports/womens-volleyball/roster","Ohio Valley Conference",""
"Austin Peay State University","Tennessee","https://letsgopeay.com/index.aspx?path=wvball","https://letsgopeay.com/sports/womens-volleyball/roster/2021","Ohio Valley Conference",""
"University of Tennessee at Martin","Tennessee","https://utmsports.com/index.aspx?path=wvball","https://utmsports.com/sports/womens-volleyball/roster","Ohio Valley Conference",""
"Tennessee Technological University","Tennessee","https://www.ttusports.com/sports/wvball/index","https://www.ttusports.com/sports/wvball/2021-22/roster","Ohio Valley Conference",""
"Southern Illinois University Edwardsville","Illinois","https://www.siuecougars.com/sports/w-volley/index","https://siuecougars.com/sports/womens-volleyball/roster","Ohio Valley Conference",""
"Tennessee State University","Tennessee","http://www.tsutigers.com/volleyball/","https://tsutigers.com/sports/womens-volleyball/roster","Ohio Valley Conference",""
"Eastern Kentucky University","Kentucky","https://ekusports.com/index.aspx?path=wvball","https://ekusports.com/sports/womens-volleyball/roster","Ohio Valley Conference",""
"Eastern Illinois University","Illinois","https://eiupanthers.com/index.aspx?path=wvball","https://eiupanthers.com/sports/womens-volleyball/roster/2021","Ohio Valley Conference",""
"Belmont University","Tennessee","https://www.belmontbruins.com/sports/w-volley","https://www.belmontbruins.com/sports/w-volley/2021-22/roster","Ohio Valley Conference",""
"Baylor University","Texas","https://baylorbears.com/index.aspx?path=wvball","https://baylorbears.com/sports/womens-volleyball/roster","Big 12 Conference",""
"University of Texas at Austin","Texas","https://texassports.com/index.aspx?path=wvball","https://texassports.com/sports/womens-volleyball/roster/2021","Big 12 Conference",""
"University of Oklahoma","Oklahoma","https://soonersports.com/sports/volleyball","https://soonersports.com/sports/volleyball/roster","Big 12 Conference",""
"Iowa State University","Iowa","https://cyclones.com/index.aspx?path=wvball","https://cyclones.com/sports/womens-volleyball/roster","Big 12 Conference",""
"Texas Tech University","Texas","https://texastech.com/index.aspx?path=wvball","https://texastech.com/sports/womens-volleyball/roster/2021","Big 12 Conference",""
"University of Kansas","Kansas","https://kuathletics.com/sports/wvball/","https://kuathletics.com/sports/wvball/roster/season/2021-22/","Big 12 Conference",""
"Texas Christian University","Texas","https://gofrogs.com/index.aspx?path=wvball","https://gofrogs.com/sports/womens-volleyball/roster/2021","Big 12 Conference",""
"Kansas State University","Kansas","https://www.kstatesports.com/index.aspx?path=wvball","https://www.kstatesports.com/sports/womens-volleyball/roster/2021","Big 12 Conference",""
"West Virginia University","West Virginia","https://wvusports.com/index.aspx?path=wvball","https://wvusports.com/sports/womens-volleyball/roster","Big 12 Conference",""
"Howard University","Washington, D.C.","https://hubison.com/index.aspx?path=wvball","https://hubison.com/sports/womens-volleyball/roster","Mid-Eastern Athletic Conference",""
"Morgan State University","Maryland","https://morganstatebears.com/index.aspx?path=vball","https://morganstatebears.com/sports/womens-volleyball/roster/2021","Mid-Eastern Athletic Conference",""
"Coppin State University","Maryland","https://coppinstatesports.com/index.aspx?path=wvball","https://coppinstatesports.com/sports/womens-volleyball/roster","Mid-Eastern Athletic Conference",""
"University of Maryland Eastern Shore","Maryland","https://easternshorehawks.com/index.aspx?path=wvball","https://easternshorehawks.com/sports/womens-volleyball/roster","Mid-Eastern Athletic Conference",""
"Norfolk State University","Virginia","https://nsuspartans.com/index.aspx?path=wvball","https://nsuspartans.com/sports/womens-volleyball/roster","Mid-Eastern Athletic Conference",""
"Delaware State University","Delaware","https://dsuhornets.com/index.aspx?path=vb","https://dsuhornets.com/sports/vb/roster","Mid-Eastern Athletic Conference",""
"North Carolina A&T","North Carolina","https://ncataggies.com/index.aspx?path=wvball","https://ncataggies.com/sports/womens-volleyball/roster","Mid-Eastern Athletic Conference",""
"North Carolina Central University","North Carolina","https://nccueaglepride.com/index.aspx?path=wvball","https://nccueaglepride.com/sports/womens-volleyball/roster","Mid-Eastern Athletic Conference",""
"Bethune–Cookman University","Florida","https://bcuathletics.com/index.aspx?path=wvball","https://bcuathletics.com/sports/womens-volleyball/roster","Mid-Eastern Athletic Conference",""
"South Carolina State University","South Carolina","https://www.scsuathletics.com/index.aspx?path=vball","https://www.scsuathletics.com/roster.aspx?roster=247","Mid-Eastern Athletic Conference",""
"Florida Agricultural and Mechanical University","Florida","https://famuathletics.com/index.aspx?path=wvball","https://famuathletics.com/sports/womens-volleyball/roster","Mid-Eastern Athletic Conference",""
"Colorado State University","Colorado","https://csurams.com/index.aspx?path=wvball","https://csurams.com/sports/womens-volleyball/roster","Mountain West Conference",""
"University of Wyoming","Wyoming","https://gowyo.com/index.aspx?path=wvball","https://gowyo.com/sports/womens-volleyball/roster","Mountain West Conference",""
"University of Nevada - Las Vegas","Nevada","https://unlvrebels.com/index.aspx?path=wvball","https://unlvrebels.com/sports/womens-volleyball/roster","Mountain West Conference",""
"Boise State University","Idaho","https://broncosports.com/index.aspx?path=wvball","https://broncosports.com/sports/womens-volleyball/roster","Mountain West Conference",""
"San Diego State University","California","https://goaztecs.com/index.aspx?path=wvball","https://goaztecs.com/sports/womens-volleyball/roster","Mountain West Conference",""
"University of Nevada, Reno","Nevada","https://nevadawolfpack.com/index.aspx?path=wvball","https://nevadawolfpack.com/sports/womens-volleyball/roster","Mountain West Conference",""
"California State University, Fresno","California","https://gobulldogs.com/index.aspx?path=wvball","https://gobulldogs.com/sports/womens-volleyball/roster","Mountain West Conference",""
"University of New Mexico","New Mexico","https://golobos.com/sports/wvball/","https://golobos.com/sports/wvball/roster/","Mountain West Conference",""
"San José State University","California","https://sjsuspartans.com/index.aspx?path=wvball","https://sjsuspartans.com/sports/womens-volleyball/roster/2021","Mountain West Conference",""
"United States Air Force Academy","Colorado","https://goairforcefalcons.com/index.aspx?path=wvball","https://goairforcefalcons.com/sports/womens-volleyball/roster/2021","Mountain West Conference",""
"Utah State University","Utah","https://usueasternathletics.com/index.aspx?path=wvball","https://usueasternathletics.com/sports/womens-volleyball/roster","Mountain West Conference",""
"University of Pittsburgh","Pennsylvania","https://pittsburghpanthers.com/index.aspx?path=wvball","https://pittsburghpanthers.com/sports/womens-volleyball/roster","Atlantic Coast Conference",""
"Georgia Institute of Technology","Georgia","https://ramblinwreck.com/sports/w-volley/","https://ramblinwreck.com/sports/w-volley/roster/","Atlantic Coast Conference",""
"University of Louisville","Kentucky","https://gocards.com/index.aspx?path=wvball","https://gocards.com/sports/womens-volleyball/roster","Atlantic Coast Conference",""
"Florida State University","Florida","https://seminoles.com/sports/volleyball/","https://seminoles.com/sports/volleyball/roster/season/2021-22/","Atlantic Coast Conference",""
"University of Notre Dame","Indiana","https://und.com/sports/wvball","https://und.com/sports/wvball/roster/","Atlantic Coast Conference",""
"University of North Carolina","North Carolina","https://goheels.com/index.aspx?path=wvball","https://goheels.com/sports/womens-volleyball/roster","Atlantic Coast Conference",""
"Boston College","Massachusetts","https://bceagles.com/index.aspx?path=wvball","https://bceagles.com/roster.aspx?roster=419","Atlantic Coast Conference",""
"Syracuse University","New York","https://cuse.com/index.aspx?path=vball","https://cuse.com/sports/womens-volleyball/roster","Atlantic Coast Conference",""
"University of Miami","Florida","https://hurricanesports.com/index.aspx?path=wvball","https://hurricanesports.com/sports/womens-volleyball/roster","Atlantic Coast Conference",""
"North Carolina State University","North Carolina","https://gopack.com/index.aspx?path=wvball","https://gopack.com/sports/womens-volleyball/roster/2021","Atlantic Coast Conference",""
"University of Virginia","Virginia","https://virginiasports.com/sports/wvball/","https://virginiasports.com/sports/wvball/roster/","Atlantic Coast Conference",""
"Duke University","North Carolina","https://goduke.com/index.aspx?path=vb","https://goduke.com/sports/womens-volleyball/roster","Atlantic Coast Conference",""
"Clemson University","South Carolina","https://clemsontigers.com/sports/volleyball/","https://clemsontigers.com/sports/volleyball/roster/","Atlantic Coast Conference",""
"Wake Forest University","North Carolina","https://godeacs.com/index.aspx?path=wvball","https://godeacs.com/sports/womens-volleyball/roster","Atlantic Coast Conference",""
"Virginia Tech","Virginia","https://hokiesports.com/index.aspx?path=wvball","https://hokiesports.com/sports/womens-volleyball/roster/2021","Atlantic Coast Conference",""
"University of Northern Iowa","Iowa","https://unipanthers.com/index.aspx?path=wvball","https://unipanthers.com/sports/womens-volleyball/roster","Missouri Valley Conference",""
"Loyola University Chicago","Illinois","https://loyolaramblers.com/index.aspx?path=wvball","https://loyolaramblers.com/sports/womens-volleyball/roster/2021","Missouri Valley Conference",""
"Illinois State University","Illinois","https://goredbirds.com/index.aspx?path=wvball","https://goredbirds.com/sports/womens-volleyball/roster/2021","Missouri Valley Conference",""
"Bradley University","Illinois","https://bradleybraves.com/index.aspx?path=wvball","https://bradleybraves.com/sports/womens-volleyball/roster","Missouri Valley Conference",""
"Valparaiso University","Indiana","http://www.valpoathletics.com/volleyball/","http://www.valpoathletics.com/volleyball/roster/","Missouri Valley Conference",""
"University of Evansville","Indiana","https://gopurpleaces.com/index.aspx?path=vball","https://gopurpleaces.com/sports/womens-volleyball/roster","Missouri Valley Conference",""
"Missouri State University","Missouri","https://missouristatebears.com/index.aspx?path=wvball","https://missouristatebears.com/sports/womens-volleyball/roster","Missouri Valley Conference",""
"Southern Illinois University","Illinois","https://siusalukis.com/index.aspx?path=wvball","https://siusalukis.com/sports/womens-volleyball/roster","Missouri Valley Conference",""
"Indiana State University","Indiana","https://gosycamores.com/index.aspx?path=wvball","https://gosycamores.com/sports/womens-volleyball/roster/2021","Missouri Valley Conference",""
"Drake University","Iowa","https://godrakebulldogs.com/index.aspx?path=wvball","https://godrakebulldogs.com/roster.aspx?roster=252","Missouri Valley Conference",""
"Brigham Young University","Utah","https://byucougars.com/home/w-volleyball","https://byucougars.com/roster/w-volleyball/","West Coast Conference",""
"Pepperdine University","California","https://pepperdinewaves.com/index.aspx?path=wvball","https://pepperdinewaves.com/sports/womens-volleyball/roster","West Coast Conference",""
"University of San Diego","California","https://usdtoreros.com/index.aspx?path=wvball","https://usdtoreros.com/sports/womens-volleyball/roster/2021","West Coast Conference",""
"Saint Mary's College of California","California","https://smcgaels.com/index.aspx?path=wvball","https://smcgaels.com/sports/womens-volleyball/roster","West Coast Conference",""
"Loyola Marymount University","California","https://lmulions.com/index.aspx?path=wvball","https://lmulions.com/sports/womens-volleyball/roster","West Coast Conference",""
"University of the Pacific","California","https://pacifictigers.com/index.aspx?path=wvball","https://pacifictigers.com/sports/womens-volleyball/roster","West Coast Conference",""
"Gonzaga University","California","https://gozags.com/index.aspx?path=wvball","https://gozags.com/sports/womens-volleyball/roster","West Coast Conference",""
"University of Portland","Oregon","https://portlandpilots.com/index.aspx?path=wvball","https://portlandpilots.com/sports/womens-volleyball/roster","West Coast Conference",""
"University of San Francisco","California","https://usfdons.com/index.aspx?path=wvball","https://usfdons.com/sports/womens-volleyball/roster","West Coast Conference",""
"Santa Clara University","California","https://www.santaclarabroncos.com/sports/w-volley/index","https://www.santaclarabroncos.com/sports/w-volley/2021-22/roster","West Coast Conference",""
"Princeton University","New Jersey","https://goprincetontigers.com/index.aspx?path=wvball","https://goprincetontigers.com/sports/womens-volleyball/roster","Ivy League",""
"Yale University","Connecticut","https://yalebulldogs.com/index.aspx?path=wvball","https://yalebulldogs.com/sports/womens-volleyball/roster","Ivy League",""
"Cornell University","New York","https://cornellbigred.com/index.aspx?path=wvball","https://cornellbigred.com/sports/womens-volleyball/roster/2021","Ivy League",""
"Brown University","Rhode Island","https://brownbears.com/index.aspx?path=wvball","https://brownbears.com/sports/womens-volleyball/roster","Ivy League",""
"Dartmouth College","New Hampshire","https://dartmouthsports.com/index.aspx?path=wvball","https://dartmouthsports.com/sports/womens-volleyball/roster","Ivy League",""
"Columbia University","New York","https://gocolumbialions.com/index.aspx?path=wvball","https://gocolumbialions.com/sports/womens-volleyball/roster","Ivy League",""
"Harvard University","Massachusetts","https://gocrimson.com/sports/wvball/index","https://gocrimson.com/sports/womens-volleyball/roster?path=wvball","Ivy League",""
"University of Pennsylvania","Pennsylvania","https://pennathletics.com/index.aspx?path=wvball","https://pennathletics.com/sports/womens-volleyball/roster/2021","Ivy League",""
"Robert Morris University","Pennsylvania","https://rmucolonials.com/index.aspx?path=wvball","https://rmucolonials.com/sports/womens-volleyball/roster","Northeast Conference",""
"Sacred Heart University","Connecticut","https://sacredheartpioneers.com/sports/womens-volleyball?path=wvball","https://sacredheartpioneers.com/sports/womens-volleyball/roster","Northeast Conference",""
